,area,value,year,item
18,山梨県,78770.67669172933,1957.0,pergdp
19,長野県,84120.81877184224,1957.0,pergdp
20,岐阜県,106581.97747183981,1957.0,pergdp
21,静岡県,129701.37597619931,1957.0,pergdp
22,愛知県,168068.94803548796,1957.0,pergdp
23,三重県,117491.2398921833,1957.0,pergdp
24,滋賀県,115840.42553191491,1957.0,pergdp
25,京都府,122713.84928716904,1957.0,pergdp
26,大阪府,176892.93665249948,1957.0,pergdp
27,兵庫県,145621.71581769438,1957.0,pergdp
28,奈良県,101990.99099099099,1957.0,pergdp
29,和歌山県,124334.99501495516,1957.0,pergdp
30,鳥取県,93431.855500821,1957.0,pergdp
31,島根県,79967.21311475411,1957.0,pergdp
32,岡山県,99165.97510373444,1957.0,pergdp
33,広島県,127023.11604253351,1957.0,pergdp
34,山口県,107294.62631253863,1957.0,pergdp
35,徳島県,79144.50867052023,1957.0,pergdp
36,香川県,101800.21367521367,1957.0,pergdp
37,愛媛県,98994.12532637076,1957.0,pergdp
38,高知県,85344.0,1957.0,pergdp
39,福岡県,126090.86294416244,1957.0,pergdp
40,佐賀県,84796.89119170983,1957.0,pergdp
41,長崎県,92014.21262080726,1957.0,pergdp
42,熊本県,70437.82929399367,1957.0,pergdp
43,大分県,89647.98737174428,1957.0,pergdp
44,宮崎県,76003.49956255467,1957.0,pergdp
45,鹿児島県,68636.40873015873,1957.0,pergdp
46,沖縄県,45712.371134020614,1957.0,pergdp
0,北海道,130368.15518286526,1958.0,pergdp
1,青森県,82876.41242937853,1958.0,pergdp
2,岩手県,79464.0387275242,1958.0,pergdp
3,宮城県,95034.4234079174,1958.0,pergdp
4,秋田県,95870.43931496648,1958.0,pergdp
5,山形県,85747.19521316381,1958.0,pergdp
6,福島県,87710.29836381138,1958.0,pergdp
7,茨城県,90798.73602333496,1958.0,pergdp
8,栃木県,106509.80392156863,1958.0,pergdp
9,群馬県,90392.58793969848,1958.0,pergdp
10,埼玉県,86624.19837537411,1958.0,pergdp
11,千葉県,81796.54255319148,1958.0,pergdp
12,東京都,242650.64920652536,1958.0,pergdp
13,神奈川県,153364.46255092448,1958.0,pergdp
14,新潟県,102663.41463414633,1958.0,pergdp
15,富山県,116322.64334305152,1958.0,pergdp
16,石川県,119323.7113402062,1958.0,pergdp
17,福井県,110992.0424403183,1958.0,pergdp
18,山梨県,82737.70491803279,1958.0,pergdp
19,長野県,88020.5307961943,1958.0,pergdp
20,岐阜県,106117.53731343283,1958.0,pergdp
21,静岡県,135107.05057216686,1958.0,pergdp
22,愛知県,161646.73642252118,1958.0,pergdp
23,三重県,113357.57575757575,1958.0,pergdp
24,滋賀県,116241.66666666664,1958.0,pergdp
25,京都府,126366.2114314618,1958.0,pergdp
26,大阪府,196012.1283255086,1958.0,pergdp
27,兵庫県,150961.41649048627,1958.0,pergdp
28,奈良県,110259.64010282775,1958.0,pergdp
29,和歌山県,118663.6726546906,1958.0,pergdp
